"Id","Label","num","title","year","president","party","eoMatches.all.num","st.query.topic","stMatch.count","stMatchRatio","st.tm.topic","topic.broad","ostp_flag","pcast_flag","presidentNum"
"13185","13185","13185","To Strengthen the Federal Government-University Research Partnership","2000","42-Clinton","D",0,TRUE,47,0.0843806104129264,TRUE,"Science/Technology","OSTP","PCAST-FirstDeg",42
"10727","10727","10727","Designating the Preparatory Commission of the International Atomic Energy Agency, the International Atomic Energy Agency, and the Universal Postal Union as Public International Organizations Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","1957","34-Eisenhower","R",0,TRUE,17,0.0817307692307692,FALSE,"Defense/Foreign Affairs","NA","NA",34
"13539","13539","13539","President's Council of Advisors on Science and Technology","2010","44-Obama","D",6,TRUE,62,0.0695067264573991,TRUE,"Science/Technology","OSTP","PCAST-FirstDeg",44
"10521","10521","10521","Administration of Scientific Research by Agencies of the Federal Government","1954","34-Eisenhower","R",1,TRUE,59,0.0645514223194748,TRUE,"Science/Technology","OSTP-FirstDeg","NA",34
"13226","13226","13226","Presidents Council of Advisors on Science and Technology","2001","Bush","R",9,TRUE,31,0.062753036437247,TRUE,"Science/Technology","OSTP","PCAST-FirstDeg",43
"12882","12882","12882","President's Committee of Advisors on Science and Technology","1993","42-Clinton","D",8,TRUE,29,0.0605427974947808,TRUE,"Science/Technology","OSTP","PCAST-FirstDeg",42
"11915","11915","11915","Abolishing the Energy Research and Development Advisory Council","1976","38-Ford","R",1,TRUE,4,0.0597014925373134,TRUE,"Science/Technology","NA","NA",38
"13349","13349","13349","Amending Executive Order 13226 To Designate the Presidents Council of Advisors on Science and Technology To Serve as the National Nanotechnology Advisory Panel","2004","Bush","R",1,TRUE,10,0.0578034682080925,TRUE,"Science/Technology","OSTP-FirstDeg","PCAST-FirstDeg",43
"12591","12591","12591","Facilitating Access to Science and Technology","1987","40-Reagan","R",2,TRUE,78,0.0559942569992821,TRUE,"Science/Technology","OSTP","NA",40
"13505","13505","13505","Removing Barriers to Responsible Scientific Research Involving Human Stem Cells","2009","44-Obama","D",1,TRUE,26,0.0556745182012848,TRUE,"Health/Society","NA","NA",44
"12845","12845","12845","Requiring Agencies To Purchase Energy Efficient Computer Equipment","1993","42-Clinton","D",2,TRUE,30,0.0552486187845304,FALSE,"Energy/Environment","NA","NA",42
"11953","11953","11953","Assigning Emergency Preparedness Functions to the Energy Research and Development Administration and Nuclear Regulatory Commission","1977","38-Ford","R",2,TRUE,76,0.0546369518332135,TRUE,"Government Operations","OSTP-FirstDeg","NA",38
"11712","11712","11712","Special Committee on Energy and National Energy Office","1973","37-Nixon","R",1,TRUE,26,0.0543933054393305,FALSE,"Energy/Environment","NA","NA",37
"13092","13092","13092","President's Information Technology Advisory Committee, Amendments to Executive Order 13035","1998","42-Clinton","D",3,TRUE,9,0.0529411764705882,TRUE,"Science/Technology","OSTP-FirstDeg","NA",42
"12039","12039","12039","Science and Technology Policy Functions","1978","39-Carter","D",1,TRUE,48,0.0522306855277476,TRUE,"Science/Technology","OSTP","NA",39
"12055","12055","12055","Export of Special Nuclear Material to India","1978","39-Carter","D",0,TRUE,7,0.0514705882352941,FALSE,"Defense/Foreign Affairs","NA","NA",39
"13123","13123","13123","Greening the Government Through Efficient Energy Management","1999","42-Clinton","D",5,TRUE,256,0.0478773143818964,FALSE,"Energy/Environment","NA","NA",42
"13702","13702","13702","Creating a National Strategic Computing Initiative","2015","44-Obama","D",1,TRUE,80,0.0473372781065089,FALSE,"Topic Not Yet Assigned","OSTP","PCAST-FirstDeg",44
"11862","11862","11862","Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material","1975","38-Ford","R",2,TRUE,8,0.0470588235294118,TRUE,"Defense/Foreign Affairs","NA","NA",38
"12344","12344","12344","Naval Nuclear Propulsion Program","1982","40-Reagan","R",0,TRUE,44,0.0469583778014941,FALSE,"Defense/Foreign Affairs","NA","NA",40
"10668","10668","10668","Amendment of Executive Order No. 2859, of May 11, 1918, Relating to the National Research Council","1956","34-Eisenhower","R",0,TRUE,27,0.0469565217391304,TRUE,"Science/Technology","NA","NA",34
"11834","11834","11834","Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission","1975","38-Ford","R",2,TRUE,13,0.0457746478873239,TRUE,"Energy/Environment","NA","NA",38
"12821","12821","12821","Improving Mathematics and Science Education in Support of the National Education Goals","1992","Bush","R",1,TRUE,46,0.045771144278607,TRUE,"Education/Workforce","OSTP-FirstDeg","NA",41
"13035","13035","13035","Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet","1997","42-Clinton","D",5,TRUE,23,0.0446601941747573,TRUE,"Science/Technology","OSTP","NA",42
"12677","12677","12677","Historically Black Colleges and Universities","1989","Bush","R",2,TRUE,50,0.0441306266548985,FALSE,"Education/Workforce","NA","NA",41
"12193","12193","12193","Nuclear Cooperation With EURATOM","1980","39-Carter","D",16,TRUE,6,0.0437956204379562,FALSE,"Defense/Foreign Affairs","NA","NA",39
"12038","12038","12038","Department of Energy","1978","39-Carter","D",33,TRUE,69,0.0436156763590392,TRUE,"Energy/Environment","OSTP-FirstDeg","NA",39
"12670","12670","12670","Nuclear Cooperation With EURATOM","1989","Bush","R",15,TRUE,6,0.0434782608695652,FALSE,"Defense/Foreign Affairs","NA","NA",41
"11726","11726","11726","Energy Policy Office","1973","37-Nixon","R",3,TRUE,20,0.0432900432900433,FALSE,"Energy/Environment","NA","NA",37
"12231","12231","12231","Strategic Petroleum Reserve","1980","39-Carter","D",1,TRUE,8,0.0432432432432432,FALSE,"Energy/Environment","NA","NA",39
"12881","12881","12881","Establishment of the National Science and Technology Council","1993","42-Clinton","D",4,TRUE,25,0.0428816466552316,TRUE,"Science/Technology","OSTP","NA",42
"12026","12026","12026","Energy Department Employees","1977","39-Carter","D",0,TRUE,6,0.0425531914893617,TRUE,"Government Operations","NA","NA",39
"12295","12295","12295","Nuclear Cooperation With EURATOM","1981","40-Reagan","R",16,TRUE,6,0.0425531914893617,FALSE,"Defense/Foreign Affairs","NA","NA",40
"12218","12218","12218","Export of Special Nuclear Material and Components to India","1980","39-Carter","D",0,TRUE,6,0.0422535211267606,FALSE,"Defense/Foreign Affairs","NA","NA",39
"13113","13113","13113","President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended","1999","42-Clinton","D",3,TRUE,12,0.0418118466898955,TRUE,"Science/Technology","OSTP-FirstDeg","NA",42
"11477","11477","11477","Authorizing the Atomic Energy Commission to Make Certain Awards Without the Approval of the President","1969","37-Nixon","R",1,TRUE,6,0.0416666666666667,FALSE,"Energy/Environment","NA","NA",37
"12156","12156","12156","Federal Emergency Management Agency; Department of Energy","1979","39-Carter","D",5,TRUE,9,0.0412844036697248,FALSE,"Energy/Environment","OSTP-FirstDeg","NA",39
"10807","10807","10807","Federal Council for Science and Technology","1959","34-Eisenhower","R",3,TRUE,53,0.0411171450737005,TRUE,"Science/Technology","OSTP","PCAST-FirstDeg",34
"12409","12409","12409","Nuclear Cooperation with EURATOM","1983","40-Reagan","R",16,TRUE,6,0.0410958904109589,FALSE,"Defense/Foreign Affairs","NA","NA",40
"13103","13103","13103","Computer Software Piracy","1998","42-Clinton","D",1,TRUE,40,0.0410677618069815,FALSE,"Economics/Commerce","OSTP-FirstDeg","NA",42
"12463","12463","12463","Nuclear Cooperation With EURATOM","1984","40-Reagan","R",16,TRUE,6,0.0408163265306122,FALSE,"Defense/Foreign Affairs","NA","NA",40
"12506","12506","12506","Nuclear Cooperation With EURATOM","1985","40-Reagan","R",15,TRUE,6,0.0405405405405405,FALSE,"Defense/Foreign Affairs","NA","NA",40
"12554","12554","12554","Nuclear Cooperation With EURATOM","1986","40-Reagan","R",15,TRUE,6,0.0402684563758389,FALSE,"Defense/Foreign Affairs","NA","NA",40
"13134","13134","13134","Developing and Promoting Biobased Products and Bioenergy","1999","42-Clinton","D",4,TRUE,63,0.0402555910543131,TRUE,"Energy/Environment","OSTP","NA",42
"12587","12587","12587","Nuclear Cooperation With EURATOM","1987","40-Reagan","R",15,TRUE,6,0.04,FALSE,"Defense/Foreign Affairs","NA","NA",40
"11933","11933","11933","Termination of the Federal Energy Office","1976","38-Ford","R",1,TRUE,10,0.0398406374501992,FALSE,"Energy/Environment","NA","NA",38
"12232","12232","12232","Historically Black Colleges and Universities","1980","39-Carter","D",1,TRUE,18,0.0398230088495575,FALSE,"Education/Workforce","NA","NA",39
"13305","13305","13305","Extension of the Presidents Information Technology Advisory Committee and the Presidents Council of Advisors on Science and Technology","2003","Bush","R",2,TRUE,7,0.0395480225988701,TRUE,"Science/Technology","OSTP-FirstDeg","PCAST-FirstDeg",43
"10956","10956","10956","Amendment of Executive Order No. 10841, Relating to International Cooperation Under the Atomic Energy Act of 1954, as Amended","1961","35-Kennedy","D",1,TRUE,6,0.0394736842105263,FALSE,"Energy/Environment","NA","NA",35
"12184","12184","12184","President's Special Commission for the Study of Ethical Problems in Medicine and Biomedical and Behavioral Research","1979","39-Carter","D",1,TRUE,12,0.0394736842105263,TRUE,"Science/Technology","NA","NA",39
"9791","9791","9791","Providing for a Study of Scientific Reseach and Development Activities and Establishing the President's Scientific Research Board","1946","33-Truman","D",1,TRUE,24,0.0394088669950739,TRUE,"Science/Technology","OSTP","NA",33
"12706","12706","12706","Nuclear Cooperation with EURATOM","1990","Bush","R",15,TRUE,6,0.0387096774193548,FALSE,"Defense/Foreign Affairs","NA","NA",41
"12753","12753","12753","Nuclear Cooperation With EURATOM","1991","Bush","R",15,TRUE,6,0.0382165605095541,FALSE,"Defense/Foreign Affairs","NA","NA",41
"11089","11089","11089","Assigning Emergency Preparedness Functions to the Atomic Energy Commission","1963","35-Kennedy","D",1,TRUE,34,0.0381593714927048,TRUE,"Government Operations","OSTP-FirstDeg","NA",35
"11734","11734","11734","Revising the Membership of the President's Committee on the National Medal of Science","1973","37-Nixon","R",1,TRUE,3,0.0379746835443038,TRUE,"Science/Technology","NA","NA",37
"12791","12791","12791","Nuclear Cooperation With Euratom","1992","Bush","R",15,TRUE,6,0.0379746835443038,FALSE,"Defense/Foreign Affairs","NA","NA",41
"11814","11814","11814","Activation of the Energy Resources Council","1974","38-Ford","R",5,TRUE,20,0.037593984962406,FALSE,"Energy/Environment","OSTP-FirstDeg","NA",38
"12660","12660","12660","National Microgravity Research Board","1988","40-Reagan","R",2,TRUE,15,0.0374064837905237,TRUE,"Science/Technology","OSTP-FirstDeg","NA",40
